NC_001416.1	U00096.3	97.990	2537	50	1	45967	48502	578108	580644	0.0	4401
NC_001416.1	U00096.3	98.625	1018	13	1	1	1018	580645	581661	0.0	1801
NC_001416.1	U00096.3	87.557	1101	137	0	19458	20558	1428857	1429957	0.0	1275
NC_001416.1	U00096.3	97.914	719	14	1	1	719	1636556	1635839	0.0	1243
NC_001416.1	U00096.3	94.805	693	34	2	21847	22538	1635011	1634320	0.0	1079
NC_001416.1	U00096.3	93.969	713	41	2	21824	22535	1432262	1432973	0.0	1077
NC_001416.1	U00096.3	90.428	491	43	4	22119	22608	581659	582146	0.0	643
NC_001416.1	U00096.3	97.838	370	8	0	45986	46355	1423200	1423569	0.0	640
NC_001416.1	U00096.3	98.343	362	6	0	48141	48502	1636918	1636557	0.0	636
NC_001416.1	U00096.3	92.500	400	28	2	39972	40370	566376	566774	1.75e-161	571
NC_001416.1	U00096.3	97.386	306	8	0	31322	31627	566072	566377	1.79e-146	521
NC_001416.1	U00096.3	84.356	505	78	1	47023	47527	1637476	1636973	3.89e-138	494
NC_001416.1	U00096.3	86.738	279	37	0	21245	21523	1431767	1432045	4.21e-83	311
NC_001416.1	U00096.3	90.909	187	17	0	40369	40555	568034	568220	2.59e-65	252
NC_001416.1	U00096.3	81.498	227	42	0	20571	20797	1430285	1430511	7.40e-46	187
